code,lat,lon
0AR3,34.3280,-93.2593
0AZ1,33.3956,-113.2229
0AZ2,33.7782,-113.6406
0AZ4,32.9823,-112.2870
0AZ5,33.8659,-112.6033
0B1,44.4252,-70.8099
0B2,44.7637,-68.7678
0B4,42.6036,-97.2526
0B5,42.5914,-72.5228
0B7,44.1177,-72.8269
0B8,41.2521,-72.0322
0C0,42.4025,-88.6324
0C1,39.4878,-94.7805
0C2,41.7709,-88.7034
0C4,42.1139,-96.7281
0C5,43.5757,-85.2842
0C7,41.5220,-89.1326
0C8,41.5189,-88.6051
0CA0,36.6527,-119.5871
0CA3,34.5875,-120.0130
0CA4,34.6222,-120.0650
0CA5,33.1431,-116.7450
0CA6,32.7494,-116.0161
0CA9,35.5928,-120.3381
0CD2,38.6525,-104.2340
0CD5,37.4905,-104.1440
0CD7,40.0039,-105.0718
0CL0,37.1180,-119.9130
0CL1,34.5694,-117.5560
0CL3,32.6335,-116.8906
0CL6,34.6946,-118.2771
0CL8,35.5911,-117.6313
0CN1,37.4522,-120.7648
0CN2,39.2286,-121.6883
0CO1,40.0333,-105.1240
0CO2,38.8519,-106.9283
0CO5,39.3031,-104.4096
0CO6,38.2194,-108.2130
0CO8,40.2083,-105.0130
0CO9,37.6583,-106.0340
0D7,40.7906,-83.8291
0D8,44.9867,-99.9528
0D9,44.9580,-84.9589
0E0,34.9751,-106.0028
0E8,35.7177,-108.2020
0E9,40.7547,-93.2424
0F2,33.6017,-97.7756
0F3,43.3875,-95.1392
0F4,41.2864,-98.9897
0F7,35.3887,-95.6002
0F9,34.1985,-96.6745
0FA1,27.3039,-81.8804
0FA5,28.5728,-81.6286
0FA9,28.6539,-81.3769
0FD0,29.2676,-81.2233
0FD3,30.4964,-86.0938
0FD4,30.6075,-85.0253
0FD5,30.8202,-86.3444
0FD6,27.9075,-80.4864
0FD9,30.6521,-86.1094
0FL0,26.7078,-81.1755
0FL2,28.7878,-81.1642
0FL5,28.5989,-81.8144
0FL6,27.8062,-82.1414
0FL8,30.1939,-81.6819
0FL9,26.3931,-81.0287
0G0,43.1032,-78.7033
0G3,40.4008,-96.1704
0G5,47.8263,-90.3835
0G6,41.4674,-84.5066
0G7,42.8836,-76.7822
0GA0,33.3562,-84.3671
0GA1,34.4779,-82.8971
0GA2,34.3779,-82.9457
0GA3,33.7701,-85.0608
0GA4,33.8129,-83.5057
0GA6,33.7334,-83.8188
0GA8,30.8803,-83.4144
0GA9,32.7139,-84.0275
0GE0,33.7821,-84.8008
0GE1,31.6655,-83.4471
0GE3,34.9047,-85.4597
0GE4,33.3314,-84.2667
0GE5,34.5618,-83.7135
0GE7,33.5203,-82.3725
0GE9,32.6939,-81.7986
0H1,39.0045,-99.8929
0H7,40.4216,-91.7063
0I2,39.4767,-87.0997
0I8,38.3662,-84.2833
0IA,41.2847,-85.7038
0IA4,41.0279,-91.0634
0IA5,40.8722,-93.2627
0IA8,42.2280,-91.7510
0ID,42.4482,-111.7775
0ID0,43.6064,-115.1070
0ID1,42.6412,-114.6050
0ID2,44.4429,-113.7730
0ID3,43.0758,-115.6730
0ID4,43.0477,-114.4700
0ID5,43.0531,-116.4620
0ID7,43.2303,-116.7632
0ID8,45.7757,-116.1805
0ID9,46.7853,-116.4711
0II0,40.2584,-85.2533
0II2,41.4573,-86.1244
0II5,40.6595,-86.8572
0II7,39.7956,-85.7861
0II8,41.3248,-87.4759
0II9,39.5326,-86.5767
0IL2,38.8031,-88.9978
0IL7,39.7829,-88.5467
0IL9,41.8537,-88.7865
0IN,41.6964,-85.9381
0IN1,38.5000,-87.5959
0IN2,40.8278,-85.0861
0IN4,41.1274,-84.9533
0IN5,38.3294,-86.0334
0IN6,39.0222,-87.1875
0IN9,37.9932,-87.9485
0IS3,41.6601,-89.6944
0J0,31.6001,-85.2384
0J4,31.0425,-86.3116
0J8,29.6190,-82.5088
0K6,36.1797,-95.5804
0K7,42.7348,-94.2453
0KS0,38.6333,-95.9253
